global_step,tp,tn,fp,fn,mcc,train_loss,eval_loss
1239,1238,0,1239,0,0.0,0.7283722162246704,0.7006839431101276
2000,1238,0,1239,0,0.0,0.6933841109275818,0.6934140382274505
2478,1238,0,1239,0,0.0,0.706187903881073,0.6940550215782658
3717,0,1239,0,1238,0.0,0.7052314281463623,0.693271275489561
4000,1238,0,1239,0,0.0,0.6518776416778564,0.6976064303228932
4956,1238,0,1239,0,0.0,0.6930879354476929,0.6933978105745008
6000,1153,91,1148,85,0.00931671712146455,0.758025050163269,0.6944425446371878
6195,1238,0,1239,0,0.0,0.7933261394500732,0.7077589871421937
7434,1236,4,1235,2,0.0164055850205452,0.7115938663482666,0.6998684008275309
8000,19,1219,20,1219,-0.003191968346221554,0.6941245794296265,0.6938855503835986
8673,1237,4,1235,1,0.02696619919870317,0.6769751906394958,0.6934859054703866
9912,335,875,364,903,-0.025760055430539882,0.6000513434410095,0.6963816217837795
10000,309,884,355,929,-0.04168085890148452,0.6077947616577148,0.6982816038593169
