global_step,tp,tn,fp,fn,mcc,train_loss,eval_loss
1239,1187,124,1072,94,0.053441497503299795,0.7381325364112854,0.6911122456673653
2000,739,561,635,542,0.04620690702619906,0.623575747013092,0.6993447626790693
2478,1185,112,1084,96,0.03369973597771289,0.5838783979415894,0.6956244874385096
3717,661,703,493,620,0.10397692297167357,0.698577344417572,0.7275891998121815
4000,846,508,688,435,0.08765201287247384,0.11319741606712341,1.3343060250964858
4956,695,649,547,586,0.08513719572550292,0.22994616627693176,1.8054712142194471
6000,764,592,604,517,0.09184195014869148,0.0003649592399597168,3.0248160038503906
6195,756,600,596,525,0.09216994656488879,0.0005882978439331055,3.093736093202906
7434,779,592,604,502,0.10374978832375109,0.0002269744873046875,3.449985445795521
8000,733,632,564,548,0.10069042222846791,7.12275505065918e-05,3.849587890409654
8673,759,608,588,522,0.10119673308932237,5.7578086853027344e-05,4.073261791275393
9912,760,611,585,521,0.10448172706607099,2.562999725341797e-05,4.311319204203544
10000,732,630,566,549,0.09824003392979783,3.039836883544922e-05,4.301641423567649
