global_step,tp,tn,fp,fn,mcc,train_loss,eval_loss
1239,903,398,798,378,0.04060960978748235,0.7979784607887268,0.6909460459986041
2000,1228,86,1110,53,0.06629363629546561,0.5746625661849976,0.6951550195294042
2478,506,815,381,775,0.07967315146106681,0.6867417097091675,0.6891661701663848
3717,771,602,594,510,0.10570889953383542,0.5148245096206665,0.7744978440384711
4000,633,690,506,648,0.0712567509413208,0.0572248250246048,1.2268883469604677
4956,686,652,544,595,0.08062401522252817,0.10555113852024078,1.7338421587982484
6000,621,710,486,660,0.07882237680649744,0.004319146275520325,2.8460444752247103
6195,815,556,640,466,0.1026252713640754,0.00038760900497436523,2.791788750550439
7434,706,647,549,575,0.09205575369755122,0.00022590160369873047,3.1515591770170195
8000,761,595,601,520,0.09196321278914978,9.739398956298828e-05,3.329574858709689
8673,777,586,610,504,0.09716809340693128,7.82012939453125e-05,3.4553494233277537
9912,811,554,642,470,0.0977300333553448,0.00011926889419555664,3.606140242997677
10000,692,669,527,589,0.09952121035820297,6.777048110961914e-05,3.637813175493671
