global_step,tp,tn,fp,fn,mcc,train_loss,eval_loss
1239,1239,20,1198,20,0.0021208970250466345,0.5528004169464111,0.6921229076000952
2000,943,396,822,316,0.08188793556411976,0.5538379549980164,0.6871946878971592
2478,970,360,858,289,0.07505793356550662,0.729875922203064,0.6885082604423646
3717,933,419,799,326,0.09273965618824848,1.0517432689666748,0.8374482149078
4000,639,716,502,620,0.09567847988181918,0.6327002048492432,1.1694690396228145
4956,695,668,550,564,0.10045310254409293,0.33550891280174255,1.5904956664048857
6000,742,630,588,517,0.10687548125758373,0.0027648508548736572,3.0191259268791444
6195,735,641,577,524,0.1102484785281297,0.0011261701583862305,3.1125828413473022
7434,738,642,576,521,0.11346861901833397,0.0003267526626586914,3.5549198975966823
8000,747,639,579,512,0.11823787644015157,0.00021439790725708008,3.716772201945705
8673,731,651,567,528,0.1152195711734167,8.058547973632812e-05,3.8020964801792174
9912,738,643,575,521,0.11428544544688977,8.785724639892578e-05,3.8793451025120675
