global_step,tp,tn,fp,fn,mcc,train_loss,eval_loss
1239,1265,40,1156,16,0.07044133592562646,0.6985841393470764,0.6905912401214722
2000,1278,3,1193,3,0.0016919519599705674,0.6202312707901001,0.7146984727151933
2478,639,709,487,642,0.09196462481943117,0.5466832518577576,0.6942505747079849
3717,752,614,582,529,0.10065985857735577,0.20156708359718323,0.8010823543994657
4000,814,558,638,467,0.10348540410865853,0.35037168860435486,1.872836339930373
4956,660,709,487,621,0.10826408914407419,0.001042008399963379,2.3036252657972995
6000,720,653,543,561,0.10800501136338546,6.568431854248047e-05,3.5944559091281505
6195,819,557,639,462,0.10669042502273685,4.1365623474121094e-05,3.6754732568417827
7434,668,713,483,613,0.1178466545666759,1.1801719665527344e-05,4.40453513002684
8000,731,652,544,550,0.11578052403265236,1.5616416931152344e-05,4.6111040515284385
8673,750,634,562,531,0.11571630921235344,1.1324882507324219e-05,4.644358762137352
9912,762,617,579,519,0.11104981373361944,1.3947486877441406e-05,4.706309380069856
10000,765,616,580,516,0.11259080549134619,1.1682510375976562e-05,4.793783585775283
