global_step,tp,tn,fp,fn,mcc,train_loss,eval_loss
1166,1232,10,1229,6,0.020125298858602068,0.6910052299499512,0.7005194458269304
2000,724,484,755,514,-0.025024521679662633,0.7076349854469299,0.6935668478088994
2332,1236,0,1239,2,-0.02843824078496339,0.5673243403434753,0.7022911435173403
3498,979,246,993,259,-0.013231293916677898,0.6790467500686646,0.7012801249181071
4000,940,290,949,298,-0.007816002716745287,0.6667429208755493,0.7082523636279567
4664,470,755,484,768,-0.011295071135413668,0.5919055938720703,0.7063680796853957
5830,620,574,665,618,-0.03594074749433859,0.46206244826316833,0.7603172643530753
6000,815,372,867,423,-0.044381112626743796,0.34241634607315063,0.7823825363189943
6996,773,399,840,465,-0.0562029500780805,0.4213915467262268,0.8494401238618359
8000,568,567,672,670,-0.0835684124127147,0.16823065280914307,1.34146826555652
8162,603,534,705,635,-0.08206063614444788,0.10852354764938354,1.4036352557520713
9328,670,454,785,568,-0.0938246450624191,0.003467261791229248,2.6336422941377085
