global_step,tp,tn,fp,fn,mcc,train_loss,eval_loss
1166,998,289,907,283,0.024566028195925523,0.5975505113601685,0.6931168877309368
2000,523,780,416,758,0.06226100756168174,0.5981769561767578,0.6949517929746258
2332,701,620,576,580,0.06561643854410051,0.5561593770980835,0.6969816128092428
3498,397,899,297,884,0.0685282051925799,0.33411067724227905,0.7664716301425811
4000,233,1028,168,1048,0.05619194336449622,0.021541878581047058,1.6930287223189109
4664,493,835,361,788,0.0872799268602179,0.005097687244415283,1.5550008041724082
5830,681,683,513,600,0.10269199077387754,0.0003389120101928711,2.5846313424648777
6000,553,783,413,728,0.08849398892150576,0.0004316270351409912,2.8683686923115483
6996,504,806,390,777,0.07008177216533494,0.00016629695892333984,3.1892188174589986
8000,448,869,327,833,0.08224731654992326,7.361173629760742e-05,3.5371631108464734
8162,507,809,387,774,0.0751283606197083,4.506111145019531e-05,3.4940426610169872
9328,562,765,431,719,0.07989100330281716,0.00012058019638061523,3.5098880506811603
10000,513,801,395,768,0.07279942984852586,3.5881996154785156e-05,3.6286234512444464
