global_step,tp,tn,fp,fn,mcc,train_loss,eval_loss
1166,1233,101,1117,26,0.14115300899964245,0.7765457630157471,0.688850280930919
2000,1156,394,824,103,0.30168154338870357,0.6918237209320068,0.6430380374193192
2332,1204,356,862,55,0.3340767583368382,0.8287031054496765,0.6358083073169954
3498,1161,823,395,98,0.6184436975118229,0.08930525183677673,0.4365523684409357
4000,1076,997,221,183,0.6738614726564626,1.5061421394348145,0.4612766244478764
4664,1192,896,322,67,0.6998568409581292,1.4562389850616455,0.5976209441981007
5830,1150,1033,185,109,0.7637525943852409,0.0002516508102416992,0.6897780253461773
6000,1155,1016,202,104,0.7549095828855473,0.0006279647350311279,0.73165288273876
6996,1161,1017,201,98,0.7608241886047628,0.002750694751739502,0.8160583512436959
8000,1143,1048,170,116,0.7695786546595517,0.00013327598571777344,0.8266828348559718
8162,1149,1040,178,110,0.7683470103642499,0.00015091896057128906,0.839285592254131
9328,1171,1002,216,88,0.7581296796228296,9.429454803466797e-05,0.9180739390077971
