global_step,tp,tn,fp,fn,mcc,train_loss,eval_loss
1166,1263,19,1177,18,0.0075583137488568,0.8551317453384399,0.6987186426116574
2000,826,492,704,455,0.057769822731454055,0.6025305986404419,0.6975668468782978
2332,1178,142,1054,103,0.06414626535505626,0.25140833854675293,0.7191645136763972
3498,959,412,784,322,0.10189792526727554,0.3372446298599243,0.7986022869425435
4000,805,538,658,476,0.07951932491671126,0.9454286694526672,2.1824629918221503
4664,829,555,641,452,0.11312581520005531,0.0016042590141296387,2.369848325728409
5830,816,540,656,465,0.09007050525631145,1.5020370483398438e-05,4.163060336343704
6000,799,570,626,482,0.10141746701557836,0.00012624263763427734,4.227570925220366
6996,762,615,581,519,0.10938766951574756,3.4928321838378906e-05,4.613846559389945
8000,788,586,610,493,0.10593120327692951,1.0251998901367188e-05,4.87847481845848
8162,770,612,584,511,0.11322558773994691,5.602836608886719e-06,4.759063682921471
9328,771,604,592,510,0.107371188298998,4.649162292480469e-06,4.812020667618321
10000,774,606,590,507,0.11141258268592931,6.318092346191406e-06,4.856916110986663
