global_step,tp,tn,fp,fn,mcc,train_loss,eval_loss
1166,1240,53,1165,19,0.08458176676341958,0.7961934804916382,0.6934761560732319
2000,1131,321,897,128,0.2100725755185109,0.6473634243011475,0.6689075383447831
2332,978,534,684,281,0.22900569469471263,0.7178162336349487,0.6585578699265757
3498,1193,415,803,66,0.36435795174001817,0.830007791519165,0.6089741665028756
4000,1213,449,769,46,0.41519411613625984,0.9445099830627441,1.4724328918803122
4664,1158,857,361,101,0.6399333667878909,0.005488693714141846,0.508112212775215
5830,1154,1004,214,105,0.7448842865063782,0.0005699992179870605,0.7253065277347266
6000,1174,976,242,85,0.741352467840866,5.1975250244140625e-05,0.8293136822792979
6996,1162,1017,201,97,0.7616845351255508,1.6808509826660156e-05,0.8551819897851543
8000,1166,1001,217,93,0.7530112733483486,1.5079975128173828e-05,0.9166468056796152
8162,1156,1039,179,103,0.7734726122461943,1.0609626770019531e-05,0.8647279122228464
9328,1162,1019,199,97,0.7632105613695654,2.6941299438476562e-05,0.9078394968759254
