global_step,tp,tn,fp,fn,mcc,train_loss,eval_loss
1105,1243,21,1197,16,0.01868164022567894,0.9703513383865356,0.7383789333604998
2000,1103,226,992,156,0.0853279036989087,0.5322151184082031,0.7237776820698092
2210,1119,209,1009,140,0.0867815772580901,0.5688688158988953,0.7381830246217789
3315,1000,350,868,259,0.09478270737680618,0.20510947704315186,0.9602785714211003
4000,764,610,608,495,0.10826791076102575,0.004093855619430542,1.81818015145198
4420,794,586,632,465,0.11306373361361247,0.009760260581970215,1.9475370665711742
5525,845,554,664,414,0.1291114433714083,0.00030744075775146484,3.0468710188423436
6000,795,605,613,464,0.12936919970568617,0.00037357211112976074,3.2002202076777335
6630,840,560,658,419,0.12983079861832353,0.00035178661346435547,3.4512661247484147
7735,831,576,642,428,0.1353847931922802,0.3094387948513031,3.6295984712339218
8000,838,563,655,421,0.13061062757610145,0.0001087486743927002,3.6735794473078944
8840,833,571,647,426,0.13297213692677926,0.00013184547424316406,3.722460924665774
