global_step,tp,tn,fp,fn,mcc,train_loss,eval_loss
1105,1241,24,1194,18,0.02093864897464704,0.6111762523651123,0.7023655187699103
2000,799,551,667,460,0.08850568322940464,0.517710268497467,0.6896340993142898
2210,1079,240,978,180,0.07204120910082143,0.590350329875946,0.699216296980458
3315,809,473,745,450,0.03196536047119923,0.26878729462623596,0.7939346611499787
4000,872,472,746,387,0.08417166566426398,0.43768301606178284,1.3830081685896842
4420,1035,318,900,224,0.1005624215252412,0.5143822431564331,1.471004166670384
5525,816,561,657,443,0.1107123290415093,0.0030840635299682617,2.919687595170352
6000,840,542,676,419,0.115098995265569,0.0002428293228149414,3.745069933129895
6630,780,595,623,479,0.10899597591531508,0.0002084970474243164,4.074527480525355
7735,753,626,592,506,0.11245221527196861,1.1682510375976562e-05,4.300831320785707
8000,815,558,660,444,0.10742966127922832,1.1444091796875e-05,4.452281989109132
8840,798,572,646,461,0.10489862845698397,1.6927719116210938e-05,4.454329797048723
