global_step,tp,tn,fp,fn,mcc,train_loss,eval_loss
995,0,1239,0,1238,0.0,0.6956851482391357,0.6936620343116022
1990,0,1239,0,1238,0.0,0.7377318143844604,0.6968090011227516
2000,0,1239,0,1238,0.0,0.7656722068786621,0.7013388810619231
2985,1238,0,1239,0,0.0,0.6935011744499207,0.6937120906768307
3980,0,1239,0,1238,0.0,0.6873809099197388,0.6932522800660903
4000,0,1239,0,1238,0.0,0.6947811841964722,0.6931533703880925
4975,1238,0,1239,0,0.0,0.674297571182251,0.6937726976410035
5970,1238,0,1239,0,0.0,0.6954075694084167,0.6955780061983293
6000,1238,0,1239,0,0.0,0.7119272947311401,0.6952030899063233
6965,1238,0,1239,0,0.0,0.7335205674171448,0.6938015930114254
