global_step,tp,tn,fp,fn,mcc,train_loss,eval_loss
995,1238,0,1239,0,0.0,0.7364511489868164,0.6964829804435853
1990,1238,0,1239,0,0.0,0.6048412322998047,0.7172555481233904
2000,1238,0,1239,0,0.0,0.7024416327476501,0.6931509462095076
2985,0,1239,0,1238,0.0,0.7026639580726624,0.7008640598866247
3980,1238,0,1239,0,0.0,0.6975646018981934,0.6931522757776322
4000,0,1239,0,1238,0.0,0.6569902300834656,0.6946648766917567
4975,0,1239,0,1238,0.0,0.8027781844139099,0.7101095972522613
5970,1238,0,1239,0,0.0,0.694817066192627,0.6943230096370944
6000,0,1239,0,1238,0.0,0.693162739276886,0.6932028412818909
6965,1238,0,1239,0,0.0,0.6933643221855164,0.6933924609614956
7960,1238,0,1239,0,0.0,0.693182110786438,0.6931690314123707
8000,0,1239,0,1238,0.0,0.6797267198562622,0.6936110233106921
8955,1238,0,1239,0,0.0,0.6933097839355469,0.693292813147268
9950,0,1239,0,1238,0.0,0.6969910264015198,0.6931720393319284
