global_step,tp,tn,fp,fn,mcc,train_loss,eval_loss
995,0,1196,0,1281,0.0,0.5866002440452576,0.7327694883269649
1990,0,1196,0,1281,0.0,0.6922138929367065,0.6936736091490715
2000,0,1196,0,1281,0.0,0.6427279710769653,0.7044617072228463
2985,1281,0,1196,0,0.0,0.7077039480209351,0.6928492909477603
3980,1130,136,1060,151,-0.006501559153016053,0.7730611562728882,0.711763679116003
4000,1071,191,1005,210,-0.005745816585127891,0.5594045519828796,0.8007689662518039
4975,1159,111,1085,122,-0.004157479615561453,0.8638411164283752,0.7766018587735392
5970,1203,73,1123,78,0.00030672490072571697,0.3372529149055481,0.9918207133969953
6000,1147,109,1087,134,-0.022626615525534244,0.12025962769985199,1.1172441697409077
6965,1010,232,964,271,-0.02182940309520401,0.11851179599761963,1.128673612590759
7960,908,297,899,373,-0.04820418153815357,0.8516203761100769,1.4906617951729606
8000,912,285,911,369,-0.056409834816330114,0.037317365407943726,1.627396578990644
8955,939,269,927,342,-0.048759491778048954,0.0370425283908844,1.8036164122723763
9950,930,263,933,351,-0.06261625505906568,0.02339911460876465,1.9771394017242616
