global_step,tp,tn,fp,fn,mcc,train_loss,eval_loss
995,1281,0,1196,0,0.0,0.8171804547309875,0.714199598854588
1990,1180,78,1118,101,-0.026299482984908622,0.5100743174552917,0.7289967524428521
2000,724,425,771,557,-0.08117864043003593,0.44957029819488525,0.7173358528844772
2985,1061,159,1037,220,-0.05385469932268134,0.1717006415128708,0.869610839601486
3980,1144,99,1097,137,-0.041140712680951264,0.9236646294593811,1.7502560828962634
4000,1224,29,1167,57,-0.055271929339721006,0.03210204839706421,2.0760583776379784
4975,1020,182,1014,261,-0.06724911229967104,0.0005491375923156738,2.699600221649293
5970,1103,121,1075,178,-0.0579530578622218,0.00014328956604003906,3.494955737456199
6000,1098,119,1077,183,-0.06621928054458855,0.214283287525177,3.517916681208918
6965,910,285,911,371,-0.05812282995711898,7.176399230957031e-05,3.375302593746493
7960,1093,140,1056,188,-0.04379176657290311,0.0001100301742553711,3.8340684154821982
8000,1022,188,1008,259,-0.05846610264749991,6.0677528381347656e-05,3.7093984326527965
8955,1091,129,1067,190,-0.06036252882173312,5.7578086853027344e-05,4.0182214915752414
9950,1077,138,1058,204,-0.06354127137277614,5.507469177246094e-05,4.058213978621268
