global_step,tp,tn,fp,fn,mcc,train_loss,eval_loss
995,0,1196,0,1281,0.0,0.7258308529853821,0.6987999085457094
1990,0,1196,0,1281,0.0,0.6835428476333618,0.6941359033507686
2000,0,1196,0,1281,0.0,0.6867069602012634,0.6945208482203945
2985,0,1196,0,1281,0.0,0.7021735906600952,0.693937914217672
3980,0,1196,0,1281,0.0,0.6913341283798218,0.6932743987729473
4000,1281,0,1196,0,0.0,0.6959980726242065,0.6927966265909133
4975,0,1196,0,1281,0.0,0.6932121515274048,0.6936047554016114
5970,1281,0,1196,0,0.0,0.6931772232055664,0.6929048245952976
6000,1281,0,1196,0,0.0,0.6914262771606445,0.6929278479468438
6965,1281,0,1196,0,0.0,0.693154513835907,0.6930570961967591
7960,1281,0,1196,0,0.0,0.6931545734405518,0.6930377035371719
8000,1281,0,1196,0,0.0,0.6931853294372559,0.6931418659225587
8955,0,1196,0,1281,0.0,0.693804144859314,0.6931913023994815
9950,0,1196,0,1281,0.0,0.6931482553482056,0.6931996895420935
