global_step,tp,tn,fp,fn,mcc,train_loss,eval_loss
995,1271,9,1187,10,-0.0016112739126819108,0.6597464084625244,0.7017464151305537
1990,1248,30,1166,33,-0.0021503952457571107,0.5004090070724487,0.7547776476029426
2000,1219,45,1151,62,-0.026482680117151155,0.530206561088562,0.7434713813566393
2985,1095,130,1066,186,-0.05467674834079185,0.4851279556751251,0.9075651072686718
3980,826,322,874,455,-0.09257720288166456,0.0010248422622680664,2.0571670362064913
4000,530,598,598,751,-0.08655512308868006,0.13375934958457947,2.479770015564657
4975,821,315,881,460,-0.10315647091167109,2.2649765014648438e-05,4.314361185820833
5970,623,488,708,658,-0.10586791950871835,2.372264862060547e-05,5.070269537933411
6000,752,387,809,529,-0.0925191142039603,1.4424324035644531e-05,5.210417841807488
6965,736,394,802,545,-0.09889612337892233,1.2755393981933594e-05,5.670725939350744
7960,759,381,815,522,-0.0923322257102505,8.106231689453125e-06,5.7289657196690955
8000,760,376,820,521,-0.09599944760421858,1.4722347259521484e-05,5.737124407483686
8955,739,391,805,542,-0.09919229427860794,6.4373016357421875e-06,5.799698409726543
9950,740,391,805,541,-0.09840814335654721,9.179115295410156e-06,5.801216492152983
