global_step,tp,tn,fp,fn,mcc,train_loss,eval_loss
995,1281,0,1196,0,0.0,0.7345452308654785,0.6937763792853202
1990,0,1196,0,1281,0.0,0.6904125809669495,0.6933869286890952
2000,0,1196,0,1281,0.0,0.6933395862579346,0.6940344897008711
2985,0,1196,0,1281,0.0,0.7122082114219666,0.6939521812623547
3980,1281,0,1196,0,0.0,0.6871423721313477,0.6928032967352098
4000,1281,0,1196,0,0.0,0.6902307868003845,0.6927981528543656
4975,0,1196,0,1281,0.0,0.6958770155906677,0.6933638501551843
5970,0,1196,0,1281,0.0,0.693233847618103,0.6936993129791752
6000,0,1196,0,1281,0.0,0.6931896805763245,0.6934951622639933
6965,0,1196,0,1281,0.0,0.6933169960975647,0.6940008732580369
7960,1281,0,1196,0,0.0,0.6916999220848083,0.6930506165950528
8000,1281,0,1196,0,0.0,0.6949387788772583,0.6929247421603049
8955,1281,0,1196,0,0.0,0.6931483745574951,0.6931389208762876
9950,0,1196,0,1281,0.0,0.6932132244110107,0.6931518283582503
