global_step,tp,tn,fp,fn,mcc,train_loss,eval_loss
995,1253,5,1213,6,-0.0049668387126409344,0.6958726644515991,0.7039478294311031
1990,1136,81,1137,123,-0.05672760750527447,1.1690608263015747,0.7239804767793224
2000,1043,136,1082,216,-0.08577447008868301,0.5457550287246704,0.7279258203121923
2985,586,559,659,673,-0.07559281797510271,0.3029084801673889,0.8685358283019835
3980,913,263,955,346,-0.06837653038555407,0.030434221029281616,2.070381635812021
4000,840,318,900,419,-0.07842758427268222,0.042390674352645874,2.145413267708594
4975,716,391,827,543,-0.11375317792936283,0.0003020167350769043,4.1909242101254005
5970,645,444,774,614,-0.12446872654223697,1.5974044799804688e-05,5.124939516282851
6000,712,388,830,547,-0.1195459536767463,2.1457672119140625e-05,5.2377861799732335
6965,672,419,799,587,-0.12443198360863914,2.0503997802734375e-05,5.468461878838077
7960,689,401,817,570,-0.12648052440607158,3.1828880310058594e-05,5.570091478286251
