global_step,tp,tn,fp,fn,mcc,train_loss,eval_loss
1239,139,1005,213,1120,-0.09231138406032446,0.7358835935592651,0.7417439093512873
2000,585,544,674,674,-0.08871168636718745,0.7806115746498108,0.8322744246452085
2478,361,751,467,898,-0.10245834671320586,0.8425957560539246,0.834373676776886
3717,471,659,559,788,-0.08605932270246042,0.11156928539276123,1.0117881670113533
4000,813,380,838,446,-0.04481553132107271,0.2313046157360077,1.9127240015374076
4956,583,594,624,676,-0.04925853347168781,0.008051455020904541,2.5520240078530003
6000,659,531,687,600,-0.04075637020422789,0.0012986063957214355,3.3985352548860734
6195,599,588,630,660,-0.041462494053653084,0.0016910433769226074,3.4501544957199406
7434,649,554,664,610,-0.02971725978749766,0.00019371509552001953,3.9638665094010292
8000,657,542,676,602,-0.03325788914027921,0.00032466650009155273,4.040758120532959
8673,650,556,662,609,-0.027275536423881225,0.00022649765014648438,4.247779991814205
9912,653,549,669,606,-0.030661048737163205,0.00033086538314819336,4.301933467676562
